#Expyriment 0.9.0 (Python 3.7.3), .xpd-file, coding: cp1252
#date: Thu Nov 21 2019 15:25:47
#--EXPERIMENT INFO
#e mainfile: experience_apr.py
#e sha1: None
#e modules: 
#e Experiment: Perception des visages
#e no between subject factors
#--SUBJECT INFO
#s id: 7
subject_id,Condition,Correct,RT
7,upd_tot,correct,1550
7,upr_part,correct,1879
7,upr_tot,correct,1870
7,upr_tot,correct,1342
7,upd_tot,correct,1381
7,upr_part,correct,1637
7,upd_part,correct,2165
7,upr_tot,correct,1575
7,upd_part,correct,2153
7,upd_part,correct,1342
7,upr_tot,correct,1624
7,upr_part,correct,1536
7,upr_part,correct,1364
7,upd_part,correct,1675
7,upd_tot,correct,1685
7,upd_part,false,1676
7,upd_tot,correct,1689
7,upd_part,correct,1229
7,upr_tot,correct,2056
7,upd_tot,false,1128
7,upr_tot,correct,1372
7,upd_part,correct,1849
7,upd_tot,correct,2086
7,upr_tot,correct,1254
7,upr_tot,correct,1262
7,upr_part,correct,1148
7,upr_tot,correct,1361
7,upr_part,correct,1055
7,upd_tot,correct,1597
7,upd_tot,correct,1247
7,upd_part,correct,1870
7,upd_tot,correct,2299
7,upd_part,correct,1517
7,upd_part,correct,3149
7,upr_part,correct,1122
7,upr_tot,correct,1191
7,upr_part,correct,1384
7,upr_part,correct,2162
7,upr_part,correct,1017
7,upr_part,correct,1290
7,upd_tot,correct,1155
7,upd_part,correct,1277
7,upr_part,correct,1170
7,upd_tot,correct,2660
7,upr_tot,correct,863
7,upd_part,false,1917
7,upd_tot,correct,1396
7,upr_part,correct,845
7,upr_part,correct,1299
7,upr_tot,correct,1444
7,upr_tot,correct,2071
7,upd_part,correct,2026
7,upd_part,correct,1351
7,upr_tot,correct,1140
7,upd_tot,correct,1315
7,upr_part,correct,1163
7,upr_tot,correct,1474
7,upd_tot,correct,2569
7,upd_part,correct,1220
7,upr_part,correct,1445
7,upr_tot,correct,1005
7,upd_tot,correct,1769
7,upd_tot,correct,1498
7,upd_part,false,1373
