subject_id,Condition,Correct,RT
4,upd_part,false,589
4,upr_tot,false,745
4,upd_tot,false,732
4,upd_tot,correct,659
4,upr_tot,false,497
4,upr_part,correct,641
4,upd_part,correct,648
4,upd_tot,false,677
4,upr_part,false,707
4,upd_tot,correct,708
4,upr_part,correct,707
4,upr_part,correct,560
4,upd_tot,false,666
4,upd_part,false,755
4,upr_tot,false,1322
4,upr_tot,correct,1151
4,upr_part,correct,1043
4,upd_part,correct,796
4,upd_tot,correct,673
4,upd_tot,false,654
4,upd_part,false,599
4,upd_tot,false,757
4,upd_tot,false,1034
4,upd_tot,correct,672
4,upr_part,correct,858
4,upr_tot,correct,811
4,upd_part,false,925
4,upd_tot,correct,839
4,upr_tot,correct,792
4,upr_part,correct,954
4,upd_tot,correct,635
4,upr_tot,correct,850
4,upr_part,false,723
4,upd_tot,false,782
4,upd_tot,correct,1023
4,upr_part,correct,1243
4,upd_part,correct,961
4,upr_tot,correct,758
4,upd_tot,correct,777
4,upr_part,correct,929
4,upd_part,false,790
4,upr_tot,correct,707
4,upr_tot,correct,527
4,upr_part,correct,744
4,upd_part,correct,891
4,upr_tot,correct,648
4,upd_part,correct,775
4,upr_tot,correct,896
4,upr_part,false,681
4,upr_part,correct,807
4,upr_tot,correct,673
4,upd_part,correct,653
4,upd_part,correct,508
4,upd_part,false,602
4,upd_tot,correct,601
4,upr_tot,false,629
4,upd_part,correct,738
4,upd_part,correct,1044
4,upr_part,correct,807
4,upd_part,correct,795
4,upr_part,correct,832
4,upr_tot,false,710
4,upr_tot,correct,1348
4,upr_part,correct,861
