subject_id,Condition,Correct,RT
6,upr_part,correct,780
6,upd_part,correct,1103
6,upd_tot,correct,880
6,upr_part,false,592
6,upd_tot,correct,711
6,upd_part,correct,816
6,upd_tot,correct,751
6,upr_part,correct,602
6,upd_tot,correct,655
6,upr_tot,correct,582
6,upd_part,correct,958
6,upd_tot,correct,845
6,upd_part,correct,746
6,upr_tot,correct,783
6,upd_tot,correct,756
6,upr_tot,false,688
6,upr_tot,correct,635
6,upr_part,false,1203
6,upr_tot,false,693
6,upr_tot,correct,1294
6,upd_tot,correct,1021
6,upd_part,correct,638
6,upr_part,false,495
6,upr_tot,correct,839
6,upr_part,correct,1426
6,upr_part,correct,689
6,upd_tot,correct,827
6,upr_part,correct,668
6,upd_part,correct,993
6,upr_tot,false,688
6,upr_part,correct,822
6,upr_tot,false,738
6,upd_part,correct,687
6,upd_tot,correct,548
6,upr_tot,correct,811
6,upd_tot,correct,654
6,upr_part,correct,974
6,upd_part,false,671
6,upd_tot,correct,548
6,upr_tot,false,678
6,upd_tot,false,739
6,upr_tot,false,529
6,upd_part,correct,628
6,upr_part,correct,777
6,upd_part,correct,1086
6,upr_tot,correct,1170
6,upd_tot,false,1116
6,upr_part,correct,1045
6,upr_part,correct,1180
6,upd_tot,correct,864
6,upd_tot,correct,682
6,upr_tot,false,895
6,upr_part,correct,864
6,upr_part,correct,823
6,upd_tot,false,994
6,upr_tot,correct,812
6,upr_part,false,550
6,upd_part,correct,833
6,upd_part,correct,711
6,upd_part,false,580
6,upd_part,correct,904
6,upd_part,correct,693
6,upd_part,false,506
6,upr_tot,correct,1271
