subject_id,Condition,Correct,RT
6,upr_part,correct,855
6,upd_tot,false,1016
6,upd_part,correct,868
6,upd_tot,correct,790
6,upr_tot,false,639
6,upd_tot,correct,1043
6,upr_part,correct,721
6,upd_tot,correct,952
6,upd_part,correct,805
6,upr_part,correct,830
6,upd_part,false,1015
6,upr_tot,correct,1115
6,upd_tot,correct,1137
6,upd_part,correct,1151
6,upr_tot,correct,948
6,upr_part,correct,626
6,upd_part,correct,1137
6,upd_tot,false,831
6,upd_tot,correct,1007
6,upr_part,correct,779
6,upr_tot,correct,775
6,upr_part,correct,893
6,upd_tot,correct,1100
6,upr_tot,correct,1207
6,upr_tot,correct,764
6,upd_tot,correct,1352
6,upr_tot,correct,1045
6,upd_part,false,933
6,upd_tot,correct,1272
6,upd_part,correct,1194
6,upd_tot,correct,1380
6,upd_part,correct,1057
6,upd_part,correct,934
6,upd_part,correct,893
6,upr_tot,correct,733
6,upr_tot,correct,641
6,upr_part,correct,836
6,upr_part,correct,874
6,upd_tot,correct,1098
6,upd_part,correct,946
6,upr_tot,correct,871
6,upr_tot,correct,882
6,upd_tot,correct,1002
6,upr_tot,correct,690
6,upd_tot,correct,717
6,upd_part,correct,940
6,upr_tot,correct,803
6,upd_part,false,639
6,upr_part,correct,686
6,upr_part,correct,760
6,upd_tot,correct,994
6,upd_tot,correct,1038
6,upr_part,correct,613
6,upd_part,correct,709
6,upr_tot,correct,962
6,upd_part,correct,926
6,upr_part,correct,920
6,upr_tot,correct,661
6,upr_part,correct,739
6,upr_part,correct,650
6,upr_part,correct,537
6,upr_tot,correct,680
6,upr_part,correct,808
6,upd_part,correct,841
