#Expyriment 0.9.0 (Python 3.7.3), .xpd-file, coding: cp1252
#date: Thu Nov 21 2019 16:50:06
#--EXPERIMENT INFO
#e mainfile: experience_apr.py
#e sha1: None
#e modules: 
#e Experiment: Perception des visages
#e no between subject factors
#--SUBJECT INFO
#s id: 9
subject_id,Condition,Correct,RT
9,upr_tot,correct,2015
9,upd_part,correct,1418
9,upr_part,correct,1792
9,upd_tot,correct,2110
9,upd_part,correct,1681
9,upr_part,correct,1752
9,upd_tot,correct,1302
9,upr_part,correct,1218
9,upr_tot,correct,1396
9,upd_part,correct,1118
9,upr_part,correct,1852
9,upr_tot,correct,2261
9,upr_part,correct,1794
9,upd_part,correct,2182
9,upd_part,correct,963
9,upr_tot,correct,1181
9,upr_part,correct,1051
9,upd_part,correct,1142
9,upr_tot,correct,1263
9,upr_part,correct,988
9,upd_part,correct,1039
9,upd_part,correct,1374
9,upr_part,correct,1342
9,upd_tot,false,937
9,upr_tot,correct,1172
9,upr_part,correct,1851
9,upr_part,correct,1099
9,upr_tot,false,1416
9,upd_part,correct,1294
9,upd_tot,correct,1499
9,upd_tot,correct,1662
9,upd_part,correct,1038
9,upr_part,correct,1598
9,upr_part,correct,894
9,upd_tot,correct,2398
9,upd_tot,correct,1213
9,upd_tot,correct,1040
9,upd_tot,correct,987
9,upr_tot,correct,1387
9,upd_part,correct,1579
9,upr_part,correct,925
9,upd_part,false,740
9,upr_tot,correct,1510
9,upd_tot,correct,1118
9,upr_tot,correct,2183
9,upr_tot,correct,2885
9,upr_tot,correct,1541
9,upd_tot,correct,1776
9,upd_part,correct,1981
9,upr_tot,correct,1858
9,upr_part,correct,1343
9,upr_tot,correct,1529
9,upd_tot,correct,1529
9,upr_part,correct,2030
9,upr_tot,correct,1560
9,upd_part,correct,1378
9,upd_tot,correct,2165
9,upd_part,correct,3706
9,upr_tot,correct,1073
9,upd_tot,correct,1128
9,upd_tot,correct,1600
9,upr_part,correct,1338
9,upd_tot,false,1375
9,upd_part,correct,1893
