#Expyriment 0.9.0 (Python 3.7.3), .xpd-file, coding: cp1252
#date: Thu Nov 14 2019 16:31:42
#--EXPERIMENT INFO
#e mainfile: experience_apr.py
#e sha1: None
#e modules: 
#e Experiment: Perception des visages
#e no between subject factors
#--SUBJECT INFO
#s id: 16
subject_id,Condition,Correct,RT
16,upd_tot,correct,874
16,upd_tot,correct,1000
16,upd_tot,correct,891
16,upd_tot,correct,843
16,upr_part,correct,1033
16,upr_part,correct,1247
16,upd_part,correct,951
16,upr_tot,correct,774
16,upd_tot,correct,1221
16,upr_part,correct,1158
16,upd_tot,correct,2038
16,upr_part,correct,1085
16,upd_part,correct,942
16,upr_tot,correct,734
16,upr_part,correct,839
16,upr_tot,correct,752
16,upr_tot,correct,1012
16,upd_part,correct,901
16,upr_tot,correct,1014
16,upd_part,correct,939
16,upd_tot,false,886
16,upr_part,correct,837
16,upr_part,correct,1092
16,upr_tot,correct,900
16,upr_part,correct,745
16,upr_tot,correct,1269
16,upr_tot,correct,1172
16,upd_part,false,908
16,upd_tot,correct,950
16,upd_tot,false,1798
16,upd_tot,correct,2464
16,upd_part,correct,1010
16,upd_tot,correct,993
16,upd_tot,correct,875
16,upr_tot,correct,850
16,upr_tot,correct,1038
16,upd_part,correct,1290
16,upr_part,correct,1031
16,upr_tot,correct,866
16,upr_part,correct,1578
16,upd_tot,correct,1272
16,upr_tot,correct,865
16,upr_part,correct,1237
16,upr_part,correct,752
16,upd_part,correct,964
16,upd_tot,correct,858
16,upr_part,correct,752
16,upr_tot,correct,1791
16,upd_part,correct,942
16,upd_part,correct,1564
16,upr_tot,correct,3108
16,upr_tot,correct,1008
16,upd_part,correct,1338
16,upd_tot,correct,1382
16,upd_part,correct,1934
16,upd_tot,false,1941
16,upr_part,correct,1018
16,upr_part,correct,865
16,upd_part,correct,889
16,upr_tot,false,663
16,upd_part,correct,815
16,upd_part,correct,771
16,upd_part,correct,808
16,upr_part,correct,2301
