subject_id,Condition,Correct,RT
3,upd_part,correct,1843
3,upr_tot,correct,1200
3,upr_part,correct,896
3,upd_tot,correct,1901
3,upr_tot,correct,1636
3,upd_part,correct,2682
3,upd_tot,correct,2750
3,upd_tot,correct,3054
3,upr_tot,correct,1070
3,upr_part,correct,1125
3,upd_part,correct,2998
3,upd_part,correct,1773
3,upd_tot,correct,1846
3,upr_part,correct,1830
3,upr_tot,false,4287
3,upd_tot,correct,2149
3,upr_tot,correct,6407
3,upd_tot,correct,2159
3,upd_part,correct,2860
3,upd_part,correct,3932
3,upr_part,correct,1402
3,upr_part,correct,1246
3,upr_part,correct,5110
3,upr_part,correct,997
3,upr_tot,correct,1870
3,upd_part,correct,1462
3,upd_tot,correct,1110
3,upr_tot,correct,1248
3,upr_part,correct,2755
3,upd_tot,correct,4145
3,upd_part,correct,2602
3,upd_part,correct,5385
3,upd_tot,false,8670
3,upd_tot,correct,2553
3,upd_tot,correct,2066
3,upd_part,correct,2744
3,upr_tot,correct,2402
3,upr_part,correct,7113
3,upr_part,correct,1680
3,upr_tot,correct,1619
3,upd_tot,correct,2096
3,upd_tot,false,2759
3,upr_part,correct,1274
3,upd_tot,correct,3586
3,upr_tot,false,4479
3,upr_part,correct,4187
3,upr_part,false,1842
3,upr_part,correct,2660
3,upr_tot,correct,2212
3,upd_tot,correct,2001
3,upd_part,correct,1988
3,upd_part,correct,1908
3,upr_tot,correct,1651
3,upr_part,correct,1235
3,upr_tot,correct,1164
3,upr_tot,correct,1235
3,upd_part,false,838
3,upr_tot,correct,932
3,upd_tot,correct,1338
3,upr_part,correct,1053
3,upd_part,correct,3897
3,upr_tot,correct,4449
3,upd_part,correct,1411
3,upd_part,correct,1978
