#Expyriment 0.9.0 (Python 3.7.3), .xpd-file, coding: cp1252
#date: Thu Nov 14 2019 14:41:35
#--EXPERIMENT INFO
#e mainfile: experience_apr.py
#e sha1: None
#e modules: 
#e Experiment: Perception des visages
#e no between subject factors
#--SUBJECT INFO
#s id: 9
subject_id,Condition,Correct,RT
9,upd_part,false,939
9,upr_tot,correct,1386
9,upr_tot,correct,945
9,upr_tot,correct,990
9,upr_tot,correct,2879
9,upd_part,false,1435
9,upd_part,correct,1456
9,upr_part,correct,970
9,upd_tot,correct,1188
9,upd_tot,false,2355
9,upd_part,false,1302
9,upd_tot,correct,1139
9,upd_part,false,1222
9,upd_part,false,1612
9,upr_tot,correct,1467
9,upd_part,false,977
9,upr_tot,false,1085
9,upr_part,correct,1706
9,upr_part,correct,1408
9,upr_part,correct,1243
9,upd_tot,correct,1378
9,upd_part,correct,1080
9,upr_tot,correct,982
9,upd_tot,false,1256
9,upr_tot,false,967
9,upd_part,false,1419
9,upr_tot,correct,1175
9,upr_part,correct,1232
9,upr_tot,correct,1013
9,upd_part,correct,1408
9,upr_part,correct,1306
9,upr_tot,false,1422
9,upr_part,false,1558
9,upd_part,correct,1416
9,upr_part,correct,1284
9,upr_part,correct,1833
9,upd_tot,false,1143
9,upd_tot,correct,1052
9,upd_tot,false,2012
9,upr_tot,correct,1927
9,upd_tot,false,1467
9,upr_part,correct,1023
9,upd_part,correct,1562
9,upd_part,correct,1409
9,upr_part,correct,1924
9,upr_part,correct,1773
9,upd_tot,correct,1980
9,upd_tot,correct,2222
9,upr_tot,correct,1062
9,upd_tot,correct,1996
9,upr_part,correct,1756
9,upd_part,correct,1562
9,upd_part,correct,1714
9,upr_tot,false,1633
9,upr_part,false,1613
9,upr_part,false,1254
9,upd_tot,correct,1752
9,upd_tot,correct,1405
9,upd_tot,correct,2328
9,upr_tot,correct,1214
9,upd_part,correct,1226
9,upr_part,correct,1266
9,upd_tot,correct,1846
9,upr_tot,correct,1501
