,subject_id,Condition,Correct,RT
0,3,upd_part,correct,3067
1,3,upd_tot,correct,1888
2,3,upr_part,correct,1043
3,3,upr_part,correct,1256
4,3,upr_tot,correct,1466
5,3,upr_part,correct,3276
6,3,upr_tot,correct,3535
7,3,upr_tot,correct,1821
8,3,upr_part,correct,2196
9,3,upr_tot,correct,1856
10,3,upd_part,correct,1175
11,3,upr_tot,correct,1044
12,3,upr_part,correct,1242
13,3,upr_part,correct,1057
14,3,upd_part,correct,1156
15,3,upr_part,correct,2127
16,3,upr_tot,correct,1273
17,3,upd_tot,correct,3200
18,3,upr_part,correct,1095
19,3,upd_part,correct,1638
20,3,upr_part,correct,950
21,3,upr_part,correct,869
22,3,upr_tot,correct,1628
23,3,upd_tot,correct,1936
24,3,upr_tot,correct,2063
25,3,upd_tot,correct,1186
26,3,upd_part,correct,1504
27,3,upr_tot,correct,1752
28,3,upd_tot,correct,2082
29,3,upr_tot,correct,1426
30,3,upd_tot,correct,2151
31,3,upr_part,correct,2245
32,3,upd_tot,correct,1662
33,3,upd_tot,correct,1702
34,3,upd_part,correct,1527
35,3,upr_part,correct,1147
36,3,upr_tot,correct,1014
37,3,upr_part,correct,1632
38,3,upr_tot,correct,1651
39,3,upd_tot,correct,2502
40,3,upd_part,correct,959
41,3,upr_part,correct,2605
42,3,upd_tot,correct,3841
43,3,upd_tot,correct,2992
44,3,upd_part,correct,3530
45,3,upd_tot,correct,2059
46,3,upr_part,correct,1339
47,3,upd_part,correct,1221
48,3,upr_tot,correct,930
49,3,upd_part,correct,1997
50,3,upr_tot,correct,1053
51,3,upd_part,correct,1516
52,3,upd_tot,correct,992
53,3,upr_part,correct,1271
54,3,upd_tot,correct,2243
55,3,upd_tot,correct,3094
56,3,upd_tot,correct,960
57,3,upd_part,correct,1454
58,3,upr_tot,correct,924
59,3,upd_part,correct,3612
60,3,upd_part,correct,1788
