,subject_id,Condition,Correct,RT
0,2,upr_part,correct,1055
1,2,upr_part,correct,917
2,2,upd_part,correct,1124
3,2,upd_part,correct,1699
4,2,upr_part,correct,1186
5,2,upd_part,correct,1274
6,2,upr_part,correct,1063
7,2,upr_tot,correct,1056
8,2,upr_tot,correct,1422
9,2,upd_part,correct,1546
10,2,upd_tot,correct,1256
11,2,upr_tot,correct,1226
12,2,upd_part,correct,1503
13,2,upr_tot,correct,1005
14,2,upr_tot,false,1035
15,2,upr_part,correct,2234
16,2,upd_tot,correct,1535
17,2,upr_part,correct,2283
18,2,upr_tot,correct,1732
19,2,upd_tot,correct,1394
20,2,upr_part,correct,1124
21,2,upr_tot,correct,904
22,2,upr_part,correct,1472
23,2,upd_part,correct,1286
24,2,upr_part,false,901
25,2,upr_tot,correct,1200
26,2,upd_tot,correct,1576
27,2,upd_tot,correct,1555
28,2,upr_part,correct,912
29,2,upd_part,correct,992
30,2,upr_tot,correct,955
31,2,upd_tot,correct,1126
32,2,upr_part,correct,952
33,2,upr_tot,correct,2192
34,2,upd_tot,correct,1906
35,2,upd_part,correct,1578
36,2,upr_tot,correct,1035
37,2,upr_tot,correct,1004
38,2,upr_tot,correct,1238
39,2,upd_tot,correct,1123
40,2,upr_part,correct,993
41,2,upd_tot,correct,1194
42,2,upd_part,correct,951
43,2,upd_tot,false,1570
44,2,upd_part,correct,1086
45,2,upd_tot,correct,942
46,2,upr_part,correct,1089
47,2,upd_part,correct,1569
48,2,upr_part,correct,1165
49,2,upr_tot,correct,1519
50,2,upr_tot,correct,1056
51,2,upd_tot,correct,1801
52,2,upr_part,correct,1067
53,2,upd_part,correct,1682
54,2,upr_part,correct,1691
55,2,upd_part,correct,1568
56,2,upd_tot,false,2129
57,2,upd_part,false,2336
58,2,upd_tot,correct,1912
59,2,upd_tot,false,2050
60,2,upr_tot,correct,969
