,subject_id,Condition,Correct,RT
0,6,upr_tot,correct,835
1,6,upr_tot,correct,964
2,6,upr_tot,correct,871
3,6,upr_tot,correct,923
4,6,upr_tot,correct,920
5,6,upr_part,correct,721
6,6,upr_tot,correct,862
7,6,upr_tot,correct,884
8,6,upr_part,correct,833
9,6,upd_part,correct,732
10,6,upd_tot,false,1073
11,6,upd_tot,correct,1135
12,6,upd_part,false,1135
13,6,upr_part,correct,852
14,6,upd_part,false,789
15,6,upd_tot,false,964
16,6,upd_part,correct,1377
17,6,upr_part,correct,906
18,6,upr_tot,correct,891
19,6,upr_tot,correct,1164
20,6,upd_tot,correct,983
21,6,upd_tot,false,1071
22,6,upd_part,correct,924
23,6,upr_part,false,854
24,6,upr_tot,false,1153
25,6,upr_part,false,1072
26,6,upd_tot,correct,904
27,6,upd_part,correct,862
28,6,upr_part,correct,1103
29,6,upd_tot,correct,933
30,6,upr_tot,correct,970
31,6,upr_part,correct,1236
32,6,upd_part,false,1445
33,6,upr_part,correct,1357
34,6,upd_part,false,1912
35,6,upd_tot,correct,1139
36,6,upr_part,false,1113
37,6,upr_tot,correct,771
38,6,upd_tot,correct,1286
39,6,upd_tot,correct,1185
40,6,upd_part,false,1620
41,6,upd_tot,correct,1438
42,6,upr_tot,correct,1467
43,6,upd_part,false,1357
44,6,upd_part,false,1148
45,6,upr_part,correct,1256
46,6,upd_tot,false,1126
47,6,upd_tot,correct,1236
48,6,upd_part,correct,1227
49,6,upr_part,correct,1267
50,6,upr_part,false,2184
51,6,upd_part,correct,1155
52,6,upr_part,correct,2204
53,6,upd_part,correct,923
54,6,upr_tot,correct,1114
55,6,upr_part,correct,744
56,6,upd_tot,correct,1046
57,6,upd_part,false,1083
58,6,upd_tot,correct,2215
59,6,upd_part,correct,1457
60,6,upr_tot,correct,1306
