,subject_id,Condition,Correct,RT
0,9,upr_tot,correct,2015
1,9,upd_part,correct,1418
2,9,upr_part,correct,1792
3,9,upd_tot,correct,2110
4,9,upd_part,correct,1681
5,9,upr_part,correct,1752
6,9,upd_tot,correct,1302
7,9,upr_part,correct,1218
8,9,upr_tot,correct,1396
9,9,upd_part,correct,1118
10,9,upr_part,correct,1852
11,9,upr_tot,correct,2261
12,9,upr_part,correct,1794
13,9,upd_part,correct,2182
14,9,upd_part,correct,963
15,9,upr_tot,correct,1181
16,9,upr_part,correct,1051
17,9,upd_part,correct,1142
18,9,upr_tot,correct,1263
19,9,upr_part,correct,988
20,9,upd_part,correct,1039
21,9,upd_part,correct,1374
22,9,upr_part,correct,1342
23,9,upd_tot,false,937
24,9,upr_tot,correct,1172
25,9,upr_part,correct,1851
26,9,upr_part,correct,1099
27,9,upr_tot,false,1416
28,9,upd_part,correct,1294
29,9,upd_tot,correct,1499
30,9,upd_tot,correct,1662
31,9,upd_part,correct,1038
32,9,upr_part,correct,1598
33,9,upr_part,correct,894
34,9,upd_tot,correct,2398
35,9,upd_tot,correct,1213
36,9,upd_tot,correct,1040
37,9,upd_tot,correct,987
38,9,upr_tot,correct,1387
39,9,upd_part,correct,1579
40,9,upr_part,correct,925
41,9,upd_part,false,740
42,9,upr_tot,correct,1510
43,9,upd_tot,correct,1118
44,9,upr_tot,correct,2183
45,9,upr_tot,correct,1541
46,9,upd_tot,correct,1776
47,9,upd_part,correct,1981
48,9,upr_tot,correct,1858
49,9,upr_part,correct,1343
50,9,upr_tot,correct,1529
51,9,upd_tot,correct,1529
52,9,upr_part,correct,2030
53,9,upr_tot,correct,1560
54,9,upd_part,correct,1378
55,9,upd_tot,correct,2165
56,9,upr_tot,correct,1073
57,9,upd_tot,correct,1128
58,9,upd_tot,correct,1600
59,9,upr_part,correct,1338
60,9,upd_tot,false,1375
61,9,upd_part,correct,1893
