,subject_id,Condition,Correct,RT
0,8,upr_tot,correct,2108
1,8,upr_tot,correct,1613
2,8,upd_part,correct,1393
3,8,upd_tot,correct,3352
4,8,upr_tot,correct,3869
5,8,upd_tot,correct,3461
6,8,upd_part,correct,4569
7,8,upd_part,correct,2091
8,8,upr_part,correct,4360
9,8,upr_tot,correct,4932
10,8,upr_tot,correct,4758
11,8,upr_part,correct,2470
12,8,upd_part,correct,3410
13,8,upd_part,correct,3892
14,8,upd_tot,correct,1935
15,8,upd_part,correct,1894
16,8,upd_tot,correct,3965
17,8,upr_tot,correct,1340
18,8,upd_part,correct,2959
19,8,upr_tot,correct,2065
20,8,upd_tot,correct,3326
21,8,upd_part,correct,2445
22,8,upr_part,correct,2797
23,8,upd_tot,correct,1715
24,8,upr_part,correct,1609
25,8,upr_part,correct,3428
26,8,upr_part,correct,2191
27,8,upd_tot,correct,2557
28,8,upd_part,correct,1540
29,8,upd_tot,correct,4849
30,8,upd_tot,correct,4506
31,8,upd_part,correct,3894
32,8,upr_part,correct,1612
33,8,upr_part,correct,2080
34,8,upr_tot,correct,1665
35,8,upd_tot,correct,2174
36,8,upr_part,correct,2609
37,8,upd_part,correct,3218
38,8,upr_tot,correct,1465
39,8,upd_part,correct,1616
40,8,upr_tot,correct,1216
41,8,upd_part,correct,2306
42,8,upd_tot,correct,1636
43,8,upr_tot,correct,4691
44,8,upr_part,correct,1647
45,8,upd_tot,correct,2493
46,8,upr_part,correct,3394
47,8,upr_part,correct,1953
48,8,upd_part,correct,1351
49,8,upr_tot,correct,1452
50,8,upr_tot,correct,3288
51,8,upr_part,correct,1933
52,8,upr_tot,correct,1263
53,8,upr_part,correct,1768
54,8,upr_tot,correct,1721
55,8,upd_part,correct,4527
56,8,upr_part,correct,3700
57,8,upd_tot,correct,2441
58,8,upd_tot,correct,3878
59,8,upr_tot,correct,2290
60,8,upd_tot,correct,3727
61,8,upd_part,correct,2881
