,subject_id,Condition,Correct,RT
0,4,upd_part,correct,1595
1,4,upd_tot,correct,1364
2,4,upr_tot,correct,1448
3,4,upr_tot,correct,1041
4,4,upd_part,correct,3300
5,4,upr_part,correct,1323
6,4,upd_part,correct,1388
7,4,upr_tot,correct,1287
8,4,upd_part,correct,2516
9,4,upr_part,correct,1133
10,4,upr_part,correct,1035
11,4,upd_part,false,2826
12,4,upd_tot,false,4351
13,4,upr_tot,correct,1708
14,4,upd_tot,false,2494
15,4,upr_part,correct,2398
16,4,upr_tot,correct,1341
17,4,upd_tot,correct,1071
18,4,upr_tot,correct,1469
19,4,upr_tot,correct,1583
20,4,upr_part,correct,1939
21,4,upd_part,correct,3426
22,4,upr_part,correct,3608
23,4,upr_tot,correct,1493
24,4,upr_tot,correct,1208
25,4,upd_tot,correct,2430
26,4,upd_part,correct,1473
27,4,upd_tot,correct,2550
28,4,upr_part,correct,2061
29,4,upr_part,correct,2306
30,4,upr_tot,correct,2479
31,4,upd_tot,correct,1726
32,4,upd_part,correct,1382
33,4,upr_part,correct,2210
34,4,upr_tot,correct,1941
35,4,upr_part,correct,1364
36,4,upd_tot,correct,2254
37,4,upd_tot,correct,1116
38,4,upd_part,correct,4375
39,4,upd_part,correct,2699
40,4,upd_tot,correct,1728
41,4,upd_part,correct,2961
42,4,upr_tot,correct,1404
43,4,upr_part,correct,1415
44,4,upr_tot,correct,1007
45,4,upd_part,correct,2565
46,4,upd_part,correct,3348
47,4,upr_tot,correct,1338
48,4,upd_part,correct,1822
49,4,upr_part,correct,2003
50,4,upd_part,correct,1424
51,4,upr_part,correct,1242
52,4,upr_part,correct,1212
53,4,upr_part,correct,1276
54,4,upr_tot,correct,1066
55,4,upr_part,correct,1161
56,4,upd_tot,correct,1312
57,4,upd_tot,correct,4000
58,4,upd_tot,correct,1375
59,4,upr_tot,correct,3787
60,4,upd_tot,correct,2036
