,subject_id,Condition,Correct,RT
0,6,upr_part,correct,855
1,6,upd_tot,false,1016
2,6,upd_part,correct,868
3,6,upd_tot,correct,790
4,6,upr_tot,false,639
5,6,upd_tot,correct,1043
6,6,upr_part,correct,721
7,6,upd_tot,correct,952
8,6,upd_part,correct,805
9,6,upr_part,correct,830
10,6,upd_part,false,1015
11,6,upr_tot,correct,1115
12,6,upd_tot,correct,1137
13,6,upd_part,correct,1151
14,6,upr_tot,correct,948
15,6,upr_part,correct,626
16,6,upd_part,correct,1137
17,6,upd_tot,false,831
18,6,upd_tot,correct,1007
19,6,upr_part,correct,779
20,6,upr_tot,correct,775
21,6,upr_part,correct,893
22,6,upd_tot,correct,1100
23,6,upr_tot,correct,1207
24,6,upr_tot,correct,764
25,6,upr_tot,correct,1045
26,6,upd_part,false,933
27,6,upd_tot,correct,1272
28,6,upd_part,correct,1194
29,6,upd_part,correct,1057
30,6,upd_part,correct,934
31,6,upd_part,correct,893
32,6,upr_tot,correct,733
33,6,upr_tot,correct,641
34,6,upr_part,correct,836
35,6,upr_part,correct,874
36,6,upd_tot,correct,1098
37,6,upd_part,correct,946
38,6,upr_tot,correct,871
39,6,upr_tot,correct,882
40,6,upd_tot,correct,1002
41,6,upr_tot,correct,690
42,6,upd_tot,correct,717
43,6,upd_part,correct,940
44,6,upr_tot,correct,803
45,6,upd_part,false,639
46,6,upr_part,correct,686
47,6,upr_part,correct,760
48,6,upd_tot,correct,994
49,6,upd_tot,correct,1038
50,6,upr_part,correct,613
51,6,upd_part,correct,709
52,6,upr_tot,correct,962
53,6,upd_part,correct,926
54,6,upr_part,correct,920
55,6,upr_tot,correct,661
56,6,upr_part,correct,739
57,6,upr_part,correct,650
58,6,upr_part,correct,537
59,6,upr_tot,correct,680
60,6,upr_part,correct,808
61,6,upd_part,correct,841
