,subject_id,Condition,Correct,RT
0,3,upd_part,correct,901
1,3,upd_tot,correct,1010
2,3,upr_part,correct,903
3,3,upr_tot,correct,963
4,3,upr_part,correct,1012
5,3,upr_part,correct,1520
6,3,upr_tot,correct,1051
7,3,upd_tot,correct,1154
8,3,upr_part,correct,966
9,3,upr_tot,correct,1700
10,3,upd_tot,correct,933
11,3,upr_part,correct,1306
12,3,upr_tot,correct,926
13,3,upd_part,correct,1307
14,3,upr_tot,correct,1180
15,3,upr_part,correct,926
16,3,upr_tot,correct,1027
17,3,upd_tot,correct,1316
18,3,upd_part,correct,1184
19,3,upd_part,correct,1333
20,3,upd_tot,correct,1508
21,3,upd_tot,correct,1522
22,3,upr_tot,correct,1193
23,3,upr_part,correct,1098
24,3,upr_tot,correct,1811
25,3,upr_part,correct,1117
26,3,upd_tot,correct,1077
27,3,upd_tot,correct,1076
28,3,upd_part,correct,1306
29,3,upr_part,correct,1264
30,3,upd_part,correct,1058
31,3,upd_tot,correct,837
32,3,upd_part,correct,929
33,3,upd_part,correct,917
34,3,upr_part,correct,1038
35,3,upr_tot,correct,1017
36,3,upd_part,correct,1092
37,3,upr_part,false,854
38,3,upd_part,correct,1386
39,3,upr_part,correct,1185
40,3,upr_tot,correct,795
41,3,upd_part,correct,993
42,3,upd_part,correct,944
43,3,upr_tot,correct,1002
44,3,upd_tot,correct,1308
45,3,upr_part,correct,1083
46,3,upr_tot,correct,769
47,3,upd_part,correct,1313
48,3,upd_tot,correct,1078
49,3,upd_tot,correct,1042
50,3,upd_tot,correct,1630
51,3,upr_tot,correct,1211
52,3,upr_part,false,921
53,3,upd_tot,correct,944
54,3,upr_tot,correct,933
55,3,upd_part,correct,1335
56,3,upr_tot,correct,1466
57,3,upd_part,correct,1452
