,subject_id,Condition,Correct,RT
0,7,upd_tot,correct,1550
1,7,upr_part,correct,1879
2,7,upr_tot,correct,1870
3,7,upr_tot,correct,1342
4,7,upd_tot,correct,1381
5,7,upr_part,correct,1637
6,7,upd_part,correct,2165
7,7,upr_tot,correct,1575
8,7,upd_part,correct,2153
9,7,upd_part,correct,1342
10,7,upr_tot,correct,1624
11,7,upr_part,correct,1536
12,7,upr_part,correct,1364
13,7,upd_part,correct,1675
14,7,upd_tot,correct,1685
15,7,upd_part,false,1676
16,7,upd_tot,correct,1689
17,7,upd_part,correct,1229
18,7,upr_tot,correct,2056
19,7,upd_tot,false,1128
20,7,upr_tot,correct,1372
21,7,upd_part,correct,1849
22,7,upd_tot,correct,2086
23,7,upr_tot,correct,1254
24,7,upr_tot,correct,1262
25,7,upr_part,correct,1148
26,7,upr_tot,correct,1361
27,7,upr_part,correct,1055
28,7,upd_tot,correct,1597
29,7,upd_tot,correct,1247
30,7,upd_part,correct,1870
31,7,upd_tot,correct,2299
32,7,upd_part,correct,1517
33,7,upr_part,correct,1122
34,7,upr_tot,correct,1191
35,7,upr_part,correct,1384
36,7,upr_part,correct,2162
37,7,upr_part,correct,1017
38,7,upr_part,correct,1290
39,7,upd_tot,correct,1155
40,7,upd_part,correct,1277
41,7,upr_part,correct,1170
42,7,upr_tot,correct,863
43,7,upd_part,false,1917
44,7,upd_tot,correct,1396
45,7,upr_part,correct,845
46,7,upr_part,correct,1299
47,7,upr_tot,correct,1444
48,7,upr_tot,correct,2071
49,7,upd_part,correct,2026
50,7,upd_part,correct,1351
51,7,upr_tot,correct,1140
52,7,upd_tot,correct,1315
53,7,upr_part,correct,1163
54,7,upr_tot,correct,1474
55,7,upd_part,correct,1220
56,7,upr_part,correct,1445
57,7,upr_tot,correct,1005
58,7,upd_tot,correct,1769
59,7,upd_tot,correct,1498
60,7,upd_part,false,1373
