,subject_id,Condition,Correct,RT
0,1,upd_tot,false,2039
1,1,upr_tot,false,1649
2,1,upd_part,correct,929
3,1,upr_part,false,1110
4,1,upr_part,correct,1434
5,1,upr_part,false,1486
6,1,upr_part,false,1089
7,1,upd_part,false,958
8,1,upd_tot,false,1289
9,1,upd_tot,false,1342
10,1,upr_tot,correct,1550
11,1,upr_tot,correct,2208
12,1,upd_part,false,886
13,1,upd_tot,correct,1546
14,1,upr_tot,false,1658
15,1,upr_tot,false,1179
16,1,upr_tot,false,1221
17,1,upd_part,false,1661
18,1,upd_tot,correct,2124
19,1,upd_part,correct,1322
20,1,upr_part,false,1190
21,1,upr_part,correct,1047
22,1,upr_part,false,855
23,1,upd_tot,false,1558
24,1,upd_tot,false,946
25,1,upr_part,false,1162
26,1,upd_part,false,1088
27,1,upd_tot,false,1222
28,1,upd_tot,false,913
29,1,upr_tot,false,858
30,1,upr_part,false,1340
31,1,upr_part,false,877
32,1,upd_part,false,1100
33,1,upr_tot,false,1221
34,1,upd_tot,false,1780
35,1,upr_tot,false,1331
36,1,upr_tot,false,1747
37,1,upr_part,false,1108
38,1,upd_part,false,1875
39,1,upd_tot,correct,1627
40,1,upd_part,false,1373
41,1,upd_part,false,1089
42,1,upr_tot,false,1725
43,1,upd_part,false,1953
44,1,upr_tot,false,2148
45,1,upd_tot,false,1678
46,1,upr_part,false,1801
47,1,upr_tot,false,1741
48,1,upr_tot,false,1495
49,1,upd_tot,false,999
50,1,upr_part,false,815
51,1,upd_tot,false,1192
52,1,upd_part,false,1727
53,1,upd_tot,false,1302
54,1,upr_part,false,969
55,1,upd_part,false,1268
56,1,upd_part,false,1825
57,1,upr_tot,false,1318
58,1,upr_tot,correct,1781
59,1,upr_part,correct,876
60,1,upd_part,correct,1424
61,1,upr_part,false,1456
