,subject_id,Condition,Correct,RT
0,15,upr_part,correct,912
1,15,upr_part,correct,878
2,15,upd_part,false,1321
3,15,upr_tot,correct,976
4,15,upr_tot,correct,1100
5,15,upd_tot,correct,1682
6,15,upd_tot,correct,907
7,15,upr_tot,correct,960
8,15,upr_tot,correct,767
9,15,upd_tot,correct,893
10,15,upr_tot,correct,1137
11,15,upr_part,correct,1294
12,15,upd_tot,false,1008
13,15,upd_tot,false,2166
14,15,upd_tot,correct,1489
15,15,upr_tot,correct,2260
16,15,upd_tot,correct,992
17,15,upr_part,correct,885
18,15,upd_part,correct,1043
19,15,upd_tot,correct,1135
20,15,upd_part,correct,993
21,15,upd_part,false,1540
22,15,upd_tot,false,1117
23,15,upd_part,correct,1552
24,15,upr_part,correct,1774
25,15,upd_part,correct,1087
26,15,upr_tot,correct,917
27,15,upr_part,correct,1012
28,15,upr_tot,correct,1185
29,15,upr_tot,correct,950
30,15,upd_part,correct,1910
31,15,upr_tot,correct,1056
32,15,upd_part,correct,983
33,15,upr_part,correct,812
34,15,upr_tot,correct,1396
35,15,upr_tot,correct,1428
36,15,upd_tot,correct,1332
37,15,upd_part,correct,789
38,15,upr_part,correct,842
39,15,upr_part,correct,863
40,15,upr_tot,correct,1035
41,15,upd_part,correct,1013
42,15,upr_part,correct,939
43,15,upd_tot,correct,947
44,15,upd_tot,correct,986
45,15,upd_part,correct,954
46,15,upr_part,correct,1188
47,15,upd_tot,correct,1082
48,15,upd_part,false,2239
49,15,upr_tot,correct,1096
50,15,upd_part,false,1188
51,15,upr_part,correct,1008
52,15,upr_tot,correct,905
53,15,upd_tot,correct,1214
54,15,upr_part,correct,751
55,15,upd_part,correct,936
56,15,upr_part,correct,1168
57,15,upd_tot,false,2090
58,15,upd_part,correct,1998
59,15,upr_part,correct,1231
