,subject_id,Condition,Correct,RT
0,7,upr_part,correct,950
1,7,upd_tot,correct,1161
2,7,upr_part,false,1780
3,7,upd_tot,correct,2026
4,7,upd_tot,correct,1663
5,7,upd_part,correct,998
6,7,upd_tot,correct,1194
7,7,upr_tot,correct,958
8,7,upr_part,correct,838
9,7,upr_tot,correct,1375
10,7,upd_part,correct,1844
11,7,upr_tot,correct,1021
12,7,upr_part,correct,1041
13,7,upd_tot,correct,867
14,7,upr_tot,correct,1852
15,7,upd_tot,correct,1096
16,7,upr_tot,false,2596
17,7,upr_part,false,2567
18,7,upd_part,correct,1236
19,7,upr_tot,correct,2556
20,7,upd_tot,correct,1411
21,7,upd_tot,correct,918
22,7,upr_tot,correct,1143
23,7,upr_part,correct,1348
24,7,upr_tot,correct,1593
25,7,upr_part,correct,1064
26,7,upd_part,correct,855
27,7,upd_part,correct,1689
28,7,upd_part,correct,1971
29,7,upd_part,correct,1653
30,7,upd_part,correct,1972
31,7,upd_tot,correct,1523
32,7,upr_tot,correct,1359
33,7,upd_part,correct,865
34,7,upr_tot,correct,1350
35,7,upr_tot,correct,1642
36,7,upr_tot,correct,1167
37,7,upd_tot,correct,2035
38,7,upd_tot,correct,2137
39,7,upd_part,correct,1338
40,7,upd_part,correct,1462
41,7,upr_part,false,1440
42,7,upr_part,correct,2831
43,7,upd_tot,correct,999
44,7,upd_part,correct,1123
45,7,upr_tot,correct,1121
46,7,upd_tot,correct,1595
47,7,upr_part,correct,1124
48,7,upd_part,correct,1535
49,7,upr_tot,false,917
50,7,upr_part,correct,2182
51,7,upr_part,correct,1602
52,7,upr_part,correct,1471
53,7,upd_tot,false,1460
54,7,upr_part,correct,1112
55,7,upr_part,correct,766
56,7,upd_part,correct,1277
57,7,upd_tot,correct,2189
58,7,upr_tot,correct,1379
59,7,upr_part,correct,1059
60,7,upd_tot,correct,1471
