,subject_id,Condition,Correct,RT
0,9,upd_part,false,939
1,9,upr_tot,correct,1386
2,9,upr_tot,correct,945
3,9,upr_tot,correct,990
4,9,upd_part,false,1435
5,9,upd_part,correct,1456
6,9,upr_part,correct,970
7,9,upd_tot,correct,1188
8,9,upd_part,false,1302
9,9,upd_tot,correct,1139
10,9,upd_part,false,1222
11,9,upd_part,false,1612
12,9,upr_tot,correct,1467
13,9,upd_part,false,977
14,9,upr_tot,false,1085
15,9,upr_part,correct,1706
16,9,upr_part,correct,1408
17,9,upr_part,correct,1243
18,9,upd_tot,correct,1378
19,9,upd_part,correct,1080
20,9,upr_tot,correct,982
21,9,upd_tot,false,1256
22,9,upr_tot,false,967
23,9,upd_part,false,1419
24,9,upr_tot,correct,1175
25,9,upr_part,correct,1232
26,9,upr_tot,correct,1013
27,9,upd_part,correct,1408
28,9,upr_part,correct,1306
29,9,upr_tot,false,1422
30,9,upr_part,false,1558
31,9,upd_part,correct,1416
32,9,upr_part,correct,1284
33,9,upr_part,correct,1833
34,9,upd_tot,false,1143
35,9,upd_tot,correct,1052
36,9,upd_tot,false,2012
37,9,upr_tot,correct,1927
38,9,upd_tot,false,1467
39,9,upr_part,correct,1023
40,9,upd_part,correct,1562
41,9,upd_part,correct,1409
42,9,upr_part,correct,1924
43,9,upr_part,correct,1773
44,9,upd_tot,correct,1980
45,9,upd_tot,correct,2222
46,9,upr_tot,correct,1062
47,9,upd_tot,correct,1996
48,9,upr_part,correct,1756
49,9,upd_part,correct,1562
50,9,upd_part,correct,1714
51,9,upr_tot,false,1633
52,9,upr_part,false,1613
53,9,upr_part,false,1254
54,9,upd_tot,correct,1752
55,9,upd_tot,correct,1405
56,9,upr_tot,correct,1214
57,9,upd_part,correct,1226
58,9,upr_part,correct,1266
59,9,upd_tot,correct,1846
60,9,upr_tot,correct,1501
