,subject_id,Condition,Correct,RT
0,7,upd_tot,correct,1705
1,7,upd_part,correct,1159
2,7,upr_part,correct,1741
3,7,upd_tot,correct,1665
4,7,upr_part,correct,2491
5,7,upr_tot,correct,2131
6,7,upd_part,false,1317
7,7,upr_tot,correct,1919
8,7,upd_part,correct,1541
9,7,upd_part,correct,1267
10,7,upr_tot,correct,2199
11,7,upr_tot,correct,2485
12,7,upd_part,correct,1368
13,7,upd_tot,correct,1450
14,7,upr_part,correct,1362
15,7,upd_tot,false,1428
16,7,upd_part,correct,1064
17,7,upr_tot,correct,1342
18,7,upr_part,correct,1203
19,7,upd_tot,correct,1394
20,7,upd_tot,correct,1214
21,7,upr_part,correct,923
22,7,upr_part,correct,693
23,7,upr_part,correct,1303
24,7,upd_part,correct,989
25,7,upd_tot,correct,756
26,7,upd_tot,correct,1772
27,7,upd_part,correct,920
28,7,upr_part,correct,1228
29,7,upr_tot,correct,1230
30,7,upr_part,correct,1029
31,7,upd_part,false,2021
32,7,upd_part,false,822
33,7,upr_part,correct,750
34,7,upr_tot,correct,1697
35,7,upd_tot,false,1179
36,7,upr_tot,correct,705
37,7,upd_part,correct,855
38,7,upd_tot,false,542
39,7,upd_part,false,739
40,7,upd_tot,correct,928
41,7,upr_part,false,1117
42,7,upd_tot,correct,996
43,7,upd_tot,correct,1029
44,7,upr_tot,correct,1698
45,7,upr_part,correct,1890
46,7,upd_part,correct,1919
47,7,upr_tot,correct,1561
48,7,upr_part,correct,1896
49,7,upr_tot,correct,1359
50,7,upr_tot,correct,915
51,7,upd_tot,false,1225
52,7,upd_part,correct,1000
53,7,upr_tot,correct,1728
54,7,upd_part,correct,1423
55,7,upr_part,correct,1308
56,7,upr_tot,correct,1851
57,7,upd_tot,correct,1181
58,7,upr_part,correct,1264
59,7,upr_tot,correct,1573
60,7,upd_part,correct,2020
61,7,upr_tot,correct,1620
