,subject_id,Condition,Correct,RT
0,4,upd_part,false,589
1,4,upr_tot,false,745
2,4,upd_tot,false,732
3,4,upd_tot,correct,659
4,4,upr_tot,false,497
5,4,upr_part,correct,641
6,4,upd_part,correct,648
7,4,upd_tot,false,677
8,4,upr_part,false,707
9,4,upd_tot,correct,708
10,4,upr_part,correct,707
11,4,upr_part,correct,560
12,4,upd_tot,false,666
13,4,upd_part,false,755
14,4,upr_part,correct,1043
15,4,upd_part,correct,796
16,4,upd_tot,correct,673
17,4,upd_tot,false,654
18,4,upd_part,false,599
19,4,upd_tot,false,757
20,4,upd_tot,false,1034
21,4,upd_tot,correct,672
22,4,upr_part,correct,858
23,4,upr_tot,correct,811
24,4,upd_part,false,925
25,4,upd_tot,correct,839
26,4,upr_tot,correct,792
27,4,upr_part,correct,954
28,4,upd_tot,correct,635
29,4,upr_tot,correct,850
30,4,upr_part,false,723
31,4,upd_tot,false,782
32,4,upd_tot,correct,1023
33,4,upd_part,correct,961
34,4,upr_tot,correct,758
35,4,upd_tot,correct,777
36,4,upr_part,correct,929
37,4,upd_part,false,790
38,4,upr_tot,correct,707
39,4,upr_tot,correct,527
40,4,upr_part,correct,744
41,4,upd_part,correct,891
42,4,upr_tot,correct,648
43,4,upd_part,correct,775
44,4,upr_tot,correct,896
45,4,upr_part,false,681
46,4,upr_part,correct,807
47,4,upr_tot,correct,673
48,4,upd_part,correct,653
49,4,upd_part,correct,508
50,4,upd_part,false,602
51,4,upd_tot,correct,601
52,4,upr_tot,false,629
53,4,upd_part,correct,738
54,4,upd_part,correct,1044
55,4,upr_part,correct,807
56,4,upd_part,correct,795
57,4,upr_part,correct,832
58,4,upr_tot,false,710
59,4,upr_part,correct,861
