,subject_id,Condition,Correct,RT
0,5,upr_part,correct,913
1,5,upd_part,correct,1266
2,5,upd_part,correct,1366
3,5,upr_part,correct,1302
4,5,upd_part,correct,1081
5,5,upr_tot,correct,1261
6,5,upr_part,correct,1871
7,5,upd_tot,correct,1560
8,5,upd_tot,correct,1459
9,5,upr_tot,correct,1492
10,5,upd_part,correct,1164
11,5,upr_tot,correct,1497
12,5,upr_tot,correct,1387
13,5,upd_tot,correct,1589
14,5,upd_part,correct,1043
15,5,upd_tot,correct,1328
16,5,upr_tot,false,1166
17,5,upd_tot,correct,1466
18,5,upd_tot,correct,1677
19,5,upr_part,correct,1535
20,5,upd_tot,correct,1274
21,5,upd_tot,correct,1266
22,5,upr_part,correct,1553
23,5,upr_part,correct,1103
24,5,upd_part,correct,970
25,5,upr_tot,correct,2094
26,5,upd_tot,correct,1187
27,5,upd_part,correct,1587
28,5,upd_tot,correct,1222
29,5,upr_tot,correct,1696
30,5,upd_tot,correct,1052
31,5,upd_part,correct,875
32,5,upr_part,correct,825
33,5,upr_part,correct,1262
34,5,upd_tot,correct,1719
35,5,upd_tot,correct,1213
36,5,upr_tot,correct,1019
37,5,upr_tot,correct,1752
38,5,upd_part,correct,1316
39,5,upr_part,false,1564
40,5,upd_part,correct,2326
41,5,upr_tot,correct,1296
42,5,upr_part,false,2397
43,5,upr_tot,correct,2265
44,5,upr_part,correct,1463
45,5,upr_tot,correct,967
46,5,upd_part,correct,1258
47,5,upr_part,correct,1052
48,5,upd_tot,correct,1179
49,5,upr_tot,correct,1100
50,5,upr_part,correct,893
51,5,upr_tot,correct,1138
52,5,upd_tot,correct,1294
53,5,upr_part,correct,1441
54,5,upd_part,correct,2344
55,5,upd_part,correct,1215
56,5,upd_part,correct,1106
57,5,upd_tot,correct,935
58,5,upr_part,correct,1059
59,5,upr_part,correct,1474
60,5,upr_tot,correct,1290
