,subject_id,Condition,Correct,RT
0,2,upr_part,correct,1331
1,2,upr_part,correct,1285
2,2,upr_part,correct,1002
3,2,upd_part,correct,1046
4,2,upr_part,correct,1073
5,2,upr_tot,correct,1168
6,2,upr_part,correct,1078
7,2,upr_part,correct,1054
8,2,upr_tot,false,926
9,2,upr_part,correct,949
10,2,upd_part,correct,1169
11,2,upd_part,correct,968
12,2,upr_tot,correct,919
13,2,upd_tot,correct,892
14,2,upr_tot,correct,1082
15,2,upd_part,correct,1083
16,2,upd_part,false,720
17,2,upd_tot,correct,779
18,2,upr_part,correct,799
19,2,upd_part,correct,963
20,2,upd_tot,correct,875
21,2,upd_tot,correct,730
22,2,upd_tot,correct,967
23,2,upd_part,false,796
24,2,upr_tot,correct,830
25,2,upd_part,correct,817
26,2,upr_tot,correct,827
27,2,upd_tot,correct,862
28,2,upr_part,correct,1102
29,2,upr_part,correct,1072
30,2,upd_part,correct,766
31,2,upr_tot,correct,1126
32,2,upd_part,correct,1010
33,2,upr_part,correct,758
34,2,upd_part,correct,1177
35,2,upd_tot,correct,1176
36,2,upr_part,correct,862
37,2,upr_tot,correct,817
38,2,upd_tot,correct,788
39,2,upr_part,correct,1448
40,2,upd_tot,false,727
41,2,upd_tot,correct,951
42,2,upr_tot,correct,890
43,2,upr_tot,correct,1422
44,2,upd_part,correct,748
45,2,upd_tot,correct,960
46,2,upd_part,correct,1274
47,2,upd_part,correct,1123
48,2,upd_tot,correct,962
49,2,upr_tot,correct,1487
50,2,upr_part,correct,851
51,2,upd_part,correct,902
52,2,upr_tot,correct,1034
53,2,upr_tot,correct,1055
54,2,upr_part,false,870
55,2,upr_part,correct,859
56,2,upr_tot,correct,731
57,2,upd_tot,correct,899
58,2,upd_part,correct,828
59,2,upd_tot,correct,638
