,subject_id,Condition,Correct,RT
0,8,upd_tot,correct,1131
1,8,upr_part,correct,1560
2,8,upr_tot,correct,971
3,8,upd_part,correct,1665
4,8,upr_part,correct,1126
5,8,upr_tot,false,1288
6,8,upr_tot,correct,1229
7,8,upd_part,correct,2101
8,8,upd_tot,correct,1645
9,8,upr_part,correct,1580
10,8,upr_tot,correct,1795
11,8,upr_part,correct,1653
12,8,upd_tot,correct,1241
13,8,upr_part,correct,2165
14,8,upr_part,correct,1236
15,8,upr_part,correct,1333
16,8,upd_part,correct,1818
17,8,upr_tot,correct,1233
18,8,upr_tot,correct,1641
19,8,upd_part,correct,2011
20,8,upd_part,correct,1552
21,8,upr_tot,correct,1885
22,8,upr_tot,correct,1600
23,8,upr_tot,correct,1289
24,8,upd_tot,false,2143
25,8,upd_part,correct,1697
26,8,upr_part,correct,1262
27,8,upd_tot,false,1563
28,8,upr_part,correct,1522
29,8,upr_tot,correct,1464
30,8,upd_part,correct,1363
31,8,upr_tot,correct,1484
32,8,upd_tot,correct,1227
33,8,upd_tot,correct,1747
34,8,upd_tot,correct,1401
35,8,upr_tot,correct,1076
36,8,upd_part,false,1192
37,8,upr_part,correct,1077
38,8,upd_part,correct,1546
39,8,upd_tot,correct,944
40,8,upd_tot,false,1108
41,8,upr_part,correct,1330
42,8,upd_part,correct,1765
43,8,upd_part,correct,905
44,8,upd_part,correct,1423
45,8,upd_part,correct,1262
46,8,upr_tot,false,1015
47,8,upd_part,correct,956
48,8,upr_tot,correct,1251
49,8,upr_tot,false,1067
50,8,upd_tot,correct,1070
51,8,upr_tot,false,1036
52,8,upd_tot,correct,1443
53,8,upr_part,false,1071
54,8,upd_tot,correct,1392
55,8,upr_part,correct,1334
56,8,upd_part,false,1584
57,8,upd_tot,correct,2049
58,8,upr_part,correct,919
59,8,upd_tot,correct,1261
60,8,upr_part,correct,1261
