,subject_id,Condition,Correct,RT
0,4,upd_part,false,600
1,4,upr_tot,correct,717
2,4,upd_part,correct,677
3,4,upr_part,correct,780
4,4,upr_tot,correct,740
5,4,upd_tot,correct,727
6,4,upr_tot,correct,912
7,4,upr_tot,false,1105
8,4,upd_part,correct,994
9,4,upr_part,correct,1165
10,4,upr_tot,correct,849
11,4,upd_tot,correct,1115
12,4,upd_tot,correct,800
13,4,upd_tot,correct,1147
14,4,upr_tot,correct,828
15,4,upd_tot,false,1095
16,4,upd_part,correct,832
17,4,upd_tot,false,805
18,4,upr_part,correct,806
19,4,upd_part,correct,778
20,4,upr_part,false,809
21,4,upr_part,correct,909
22,4,upd_tot,correct,679
23,4,upd_tot,correct,689
24,4,upd_tot,correct,921
25,4,upr_part,correct,1127
26,4,upr_part,correct,746
27,4,upd_part,false,727
28,4,upr_part,correct,1066
29,4,upr_tot,correct,756
30,4,upd_part,false,932
31,4,upd_tot,correct,852
32,4,upr_tot,correct,844
33,4,upr_part,correct,899
34,4,upr_part,correct,923
35,4,upr_tot,correct,911
36,4,upd_tot,false,770
37,4,upd_part,correct,751
38,4,upd_part,false,841
39,4,upd_part,correct,736
40,4,upr_tot,correct,907
41,4,upr_part,correct,830
42,4,upr_part,correct,797
43,4,upr_tot,correct,709
44,4,upd_tot,correct,611
45,4,upr_tot,correct,768
46,4,upd_part,false,618
47,4,upr_part,correct,910
48,4,upr_part,false,747
49,4,upd_tot,correct,625
50,4,upd_part,false,674
51,4,upd_part,correct,684
52,4,upr_tot,correct,819
53,4,upr_part,correct,617
54,4,upr_tot,false,612
55,4,upd_tot,false,686
56,4,upd_tot,false,666
57,4,upd_part,correct,637
58,4,upr_tot,correct,719
59,4,upd_part,false,614
60,4,upd_part,false,719
